,file,particle,script_version_git,date,frame,y_micron,x_micron,D,A,P,Dist,serum
36,210521_guide_1514i.sld_-_1514_i10_t35,1,3310a09,20210521,6,8.387637878,9.372404549,0.464126688,301.9792188,18.56561683,4.528908045,0
37,210521_guide_1514i.sld_-_1514_i10_t35,1,3310a09,20210521,7,8.470185127,9.073201696,0.310381049,302.054633,18.61360771,4.82033038,0
38,210521_guide_1514i.sld_-_1514_i10_t35,1,3310a09,20210521,8,8.16468802,9.090163828,0.305967639,301.7461202,18.64103108,4.667250552,0
39,210521_guide_1514i.sld_-_1514_i10_t35,1,3310a09,20210521,9,8.077312026,9.204078361,0.143565613,301.7941111,18.6958778,4.489570566,0
40,210521_guide_1514i.sld_-_1514_i10_t35,1,3310a09,20210521,10,7.957841198,9.183545874,0.121222365,301.9792188,18.73701285,4.454049068,0
41,210521_guide_1514i.sld_-_1514_i10_t35,1,3310a09,20210521,11,7.929761562,9.277657471,0.098211296,302.2191732,18.68902196,4.320599455,0
42,210521_guide_1514i.sld_-_1514_i10_t35,1,3310a09,20210521,12,8.046508955,9.289858502,0.117383214,301.2182205,18.64788692,4.36196245,0
43,210521_guide_1514i.sld_-_1514_i10_t35,1,3310a09,20210521,13,7.950250425,9.16870465,0.154738361,301.7735436,18.70273364,4.427668189,0
44,210521_guide_1514i.sld_-_1514_i10_t35,1,3310a09,20210521,14,8.04169728,9.073961523,0.131676829,301.6364267,18.6615986,4.478479657,0
45,210521_guide_1514i.sld_-_1514_i10_t35,1,3310a09,20210521,15,7.851582536,9.126331862,0.197196015,301.3827606,18.62046356,4.38434872,0
46,210521_guide_1514i.sld_-_1514_i10_t35,1,3310a09,20210521,16,7.835130948,9.211643564,0.086883492,301.5952917,18.65474276,4.41110461,0
47,210521_guide_1514i.sld_-_1514_i10_t35,1,3310a09,20210521,17,7.592197766,9.320737505,0.266304373,301.1633737,18.59989603,4.204847406,0
48,210521_guide_1514i.sld_-_1514_i10_t35,1,3310a09,20210521,18,7.966591263,9.236116741,0.383837419,301.4238957,18.65474276,4.448598797,0
49,210521_guide_1514i.sld_-_1514_i10_t35,1,3310a09,20210521,19,7.653476343,9.404306687,0.355427645,301.5473008,18.68902196,4.123926351,0
50,210521_guide_1514i.sld_-_1514_i10_t35,1,3310a09,20210521,20,7.677224074,9.360076288,0.050202419,301.3073464,18.65474276,4.174007302,0
51,210521_guide_1514i.sld_-_1514_i10_t35,1,3310a09,20210521,21,7.800316878,9.261110972,0.15794294,301.5130216,18.63417524,4.351338048,0
52,210521_guide_1514i.sld_-_1514_i10_t35,1,3310a09,20210521,22,8.023861573,9.355191331,0.242535244,301.0948153,18.63417524,4.367176657,0
53,210521_guide_1514i.sld_-_1514_i10_t35,1,3310a09,20210521,23,8.059658578,9.260723815,0.101022459,301.1016712,18.64103108,4.541672827,0
54,210521_guide_1514i.sld_-_1514_i10_t35,1,3310a09,20210521,24,7.995010413,9.514119939,0.261512869,300.9028518,18.67531028,4.251661141,0
55,210521_guide_1514i.sld_-_1514_i10_t35,1,3310a09,20210521,25,7.885286613,9.554772522,0.117012584,300.7245999,18.62046356,4.203084814,0
56,210521_guide_1514i.sld_-_1514_i10_t35,1,3310a09,20210521,26,7.978848632,9.521201661,0.099402485,300.8411492,18.67531028,4.237726058,0
57,210521_guide_1514i.sld_-_1514_i10_t35,1,3310a09,20210521,27,8.026608233,9.28125133,0.24465719,300.4503663,18.62046356,4.472064242,0
58,210521_guide_1514i.sld_-_1514_i10_t35,1,3310a09,20210521,28,7.928335975,9.39044693,0.146905125,300.2652586,18.57932851,4.367562449,0
59,210521_guide_1514i.sld_-_1514_i10_t35,1,3310a09,20210521,29,8.017546965,9.574077546,0.204153873,299.8470523,18.61360771,4.24338036,0
60,210521_guide_1514i.sld_-_1514_i1_t0,0,3310a09,20210521,0,13.94431356,24.78183771,,513.7492846,19.53229038,8.319813214,1
61,210521_guide_1514i.sld_-_1514_i1_t0,0,3310a09,20210521,1,13.95384407,24.73428523,0.048498134,513.5710327,19.5185787,8.282639161,1
62,210521_guide_1514i.sld_-_1514_i1_t0,0,3310a09,20210521,2,14.00623207,24.90526893,0.178829327,512.1655854,19.57342542,8.067956564,1
63,210521_guide_1514i.sld_-_1514_i1_t0,0,3310a09,20210521,3,14.07920211,24.76561163,0.157571534,512.3849723,19.49801117,8.165917999,1
64,210521_guide_1514i.sld_-_1514_i1_t0,0,3310a09,20210521,4,14.23057522,24.88489645,0.19272438,511.9941894,19.52543454,7.983478593,1
65,210521_guide_1514i.sld_-_1514_i1_t0,0,3310a09,20210521,5,14.19649556,24.85198172,0.047379349,512.7483318,19.64883967,8.009441377,1
66,210521_guide_1514i.sld_-_1514_i1_t0,0,3310a09,20210521,6,14.17845352,24.8639467,0.021648925,512.8168903,19.58713711,7.990545813,1
67,210521_guide_1514i.sld_-_1514_i1_t0,0,3310a09,20210521,7,14.29189868,24.6811163,0.215166818,512.4878099,19.59399295,8.025685933,1
68,210521_guide_1514i.sld_-_1514_i1_t0,0,3310a09,20210521,8,14.21692218,24.79779455,0.138691346,512.439819,19.60084879,7.956275944,1
69,210521_guide_1514i.sld_-_1514_i1_t0,0,3310a09,20210521,9,14.29504285,24.63010076,0.184997422,511.9461985,19.62141631,8.044493041,1
